Indicator,Year,Values,State,LGA,Months
Penta 1 Coverage,2017,79,Abia,State level data,NA
Penta 1 Coverage,2017,119.9,Adamawa,State level data,NA
Penta 1 Coverage,2017,86.6,Akwa-Ibom,State level data,NA
Penta 1 Coverage,2017,93.8,Anambra,State level data,NA
Penta 1 Coverage,2017,105.7,Bauchi,State level data,NA
Penta 1 Coverage,2017,71.8,Benue,State level data,NA
Penta 1 Coverage,2017,73.5,Borno,State level data,NA
Penta 1 Coverage,2017,36.7,Bayelsa,State level data,NA
Penta 1 Coverage,2017,93.8,Cross River,State level data,NA
Penta 1 Coverage,2017,80,Delta,State level data,NA
Penta 1 Coverage,2017,88.6,Ebonyi,State level data,NA
Penta 1 Coverage,2017,54,Edo,State level data,NA
Penta 1 Coverage,2017,90,Ekiti,State level data,NA
Penta 1 Coverage,2017,58.6,Enugu,State level data,NA
Penta 1 Coverage,2017,131.5,Federal Capital Territory,State level data,NA
Penta 1 Coverage,2017,98.1,Gombe,State level data,NA
Penta 1 Coverage,2017,95.3,Imo,State level data,NA
Penta 1 Coverage,2017,117.5,Jigawa,State level data,NA
Penta 1 Coverage,2017,120.1,Kaduna,State level data,NA
Penta 1 Coverage,2017,72,Kebbi,State level data,NA
Penta 1 Coverage,2017,100.9,Kano,State level data,NA
Penta 1 Coverage,2017,96.9,Kogi,State level data,NA
Penta 1 Coverage,2017,75.5,Katsina,State level data,NA
Penta 1 Coverage,2017,95.4,Kwara,State level data,NA
Penta 1 Coverage,2017,78.7,Lagos,State level data,NA
Penta 1 Coverage,2017,131.3,Nasarawa,State level data,NA
Penta 1 Coverage,2017,91.2,Federal Government,State level data,NA
Penta 1 Coverage,2017,91.8,Niger,State level data,NA
Penta 1 Coverage,2017,93.6,Ogun,State level data,NA
Penta 1 Coverage,2017,103.6,Ondo,State level data,NA
Penta 1 Coverage,2017,78.7,Osun,State level data,NA
Penta 1 Coverage,2017,87.9,Oyo,State level data,NA
Penta 1 Coverage,2017,81.6,Plateau,State level data,NA
