Indicator,Year,Values,State,LGA,Months
Measles 1 Dose Coverage (Annualized),2017,96.4,Anambra,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,67.7,Abia,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,110.2,Adamawa,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,78.8,Akwa-Ibom,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,90.7,Bauchi,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,65.3,Benue,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,66.1,Borno,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,31.2,Bayelsa,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,91.2,Cross River,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,65.9,Delta,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,81.9,Ebonyi,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,47.3,Edo,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,84.6,Ekiti,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,46.8,Enugu,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,118.3,Federal Capital Territory,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,88.1,Gombe,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,93.2,Imo,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,103.7,Jigawa,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,125.6,Kaduna,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,66.6,Kebbi,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,80.6,Kano,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,94.5,Kogi,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,66,Katsina,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,85.5,Kwara,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,66.9,Lagos,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,146.1,Nasarawa,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,82.7,Federal Government,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,91,Niger,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,88.4,Ogun,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,94.6,Ondo,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,70,Osun,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,77.8,Oyo,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,72.2,Plateau,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,95,Rivers,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,78.5,Sokoto,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,98.9,Taraba,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,103,Yobe,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,64,Zamfara,State level data,NA
Measles 1 Dose Coverage (Annualized),2017,89.9,Abia,Aba North,NA
Measles 1 Dose Coverage (Annualized),2017,77.4,Abia,Aba South,NA
Measles 1 Dose Coverage (Annualized),2017,86.4,Abia,Arochukwu,NA
Measles 1 Dose Coverage (Annualized),2017,40.1,Abia,Bende,NA
Measles 1 Dose Coverage (Annualized),2017,62.4,Abia,Ikwuano,NA
Measles 1 Dose Coverage (Annualized),2017,60.7,Abia,Isiala-Ngwa North,NA
Measles 1 Dose Coverage (Annualized),2017,77.2,Abia,Isiala-Ngwa South,NA
Measles 1 Dose Coverage (Annualized),2017,61.2,Abia,Isuikwuato,NA
Measles 1 Dose Coverage (Annualized),2017,83.2,Abia,Obi Nwga,NA
Measles 1 Dose Coverage (Annualized),2017,50.7,Abia,Ohafia,NA
Measles 1 Dose Coverage (Annualized),2017,86.7,Abia,Osisioma Ngwa,NA
Measles 1 Dose Coverage (Annualized),2017,44.2,Abia,Ugwunagbo,NA
Measles 1 Dose Coverage (Annualized),2017,108.7,Abia,Ukwa East,NA
Measles 1 Dose Coverage (Annualized),2017,69.6,Abia,Ukwa West,NA
Measles 1 Dose Coverage (Annualized),2017,41.7,Abia,Umuahia North,NA
Measles 1 Dose Coverage (Annualized),2017,96.7,Abia,Umuahia South,NA
Measles 1 Dose Coverage (Annualized),2017,39.7,Abia,Umunneochi,NA
Measles 1 Dose Coverage (Annualized),2017,105.8,Adamawa,Demsa,NA
Measles 1 Dose Coverage (Annualized),2017,104.7,Adamawa,Fufore,NA
Measles 1 Dose Coverage (Annualized),2017,112.8,Adamawa,Ganye,NA
Measles 1 Dose Coverage (Annualized),2017,106.1,Adamawa,Girei,NA
Measles 1 Dose Coverage (Annualized),2017,96.8,Adamawa,Gombi,NA
Measles 1 Dose Coverage (Annualized),2017,74.5,Adamawa,Guyuk,NA
Measles 1 Dose Coverage (Annualized),2017,104.9,Adamawa,Hong,NA
Measles 1 Dose Coverage (Annualized),2017,128.7,Adamawa,Jada,NA
Measles 1 Dose Coverage (Annualized),2017,106.9,Adamawa,Lamurde,NA
Measles 1 Dose Coverage (Annualized),2017,58.7,Adamawa,Madagali,NA
Measles 1 Dose Coverage (Annualized),2017,134,Adamawa,Maiha,NA
Measles 1 Dose Coverage (Annualized),2017,160.7,Adamawa,Mayo-Belwa,NA
Measles 1 Dose Coverage (Annualized),2017,96.9,Adamawa,Michika,NA
Measles 1 Dose Coverage (Annualized),2017,119.2,Adamawa,Mubi North,NA
Measles 1 Dose Coverage (Annualized),2017,126.1,Adamawa,Mubi South,NA
Measles 1 Dose Coverage (Annualized),2017,87.1,Adamawa,Numan,NA
Measles 1 Dose Coverage (Annualized),2017,101,Adamawa,Shelleng,NA
Measles 1 Dose Coverage (Annualized),2017,117.6,Adamawa,Song,NA
Measles 1 Dose Coverage (Annualized),2017,209.6,Adamawa,Toungo,NA
Measles 1 Dose Coverage (Annualized),2017,88.8,Adamawa,Yola North,NA
Measles 1 Dose Coverage (Annualized),2017,135.6,Adamawa,Yola South,NA
Measles 1 Dose Coverage (Annualized),2017,90.8,Akwa-Ibom,Abak,NA
Measles 1 Dose Coverage (Annualized),2017,94.1,Akwa-Ibom,Eastern Obolo,NA
Measles 1 Dose Coverage (Annualized),2017,73.9,Akwa-Ibom,Eket,NA
Measles 1 Dose Coverage (Annualized),2017,63.6,Akwa-Ibom,Esit Eket,NA
Measles 1 Dose Coverage (Annualized),2017,66.6,Akwa-Ibom,Essien Udim,NA
Measles 1 Dose Coverage (Annualized),2017,84.3,Akwa-Ibom,Etim Ekpo,NA
Measles 1 Dose Coverage (Annualized),2017,77,Akwa-Ibom,Etinan,NA
Measles 1 Dose Coverage (Annualized),2017,80.6,Akwa-Ibom,Ibeno,NA
Measles 1 Dose Coverage (Annualized),2017,82.2,Akwa-Ibom,Ibesikpo Asutan,NA
Measles 1 Dose Coverage (Annualized),2017,74.2,Akwa-Ibom,Ibiono Ibom,NA
Measles 1 Dose Coverage (Annualized),2017,99.2,Akwa-Ibom,Ika,NA
Measles 1 Dose Coverage (Annualized),2017,73.9,Akwa-Ibom,Ikono,NA
Measles 1 Dose Coverage (Annualized),2017,92,Akwa-Ibom,Ikot Abasi,NA
Measles 1 Dose Coverage (Annualized),2017,88,Akwa-Ibom,Ikot Ekpene,NA
Measles 1 Dose Coverage (Annualized),2017,78.8,Akwa-Ibom,Ini,NA
Measles 1 Dose Coverage (Annualized),2017,92.7,Akwa-Ibom,Itu,NA
Measles 1 Dose Coverage (Annualized),2017,73,Akwa-Ibom,Mbo,NA
Measles 1 Dose Coverage (Annualized),2017,103.9,Akwa-Ibom,Mkpat Enin,NA
Measles 1 Dose Coverage (Annualized),2017,94.1,Akwa-Ibom,Nsit Atai,NA
Measles 1 Dose Coverage (Annualized),2017,87.4,Akwa-Ibom,Nsit Ibom,NA
Measles 1 Dose Coverage (Annualized),2017,68.2,Akwa-Ibom,Nsit Ubium,NA
Measles 1 Dose Coverage (Annualized),2017,93.7,Akwa-Ibom,Obot Akara,NA
Measles 1 Dose Coverage (Annualized),2017,82.5,Akwa-Ibom,Okobo,NA
Measles 1 Dose Coverage (Annualized),2017,83.8,Akwa-Ibom,Onna,NA
Measles 1 Dose Coverage (Annualized),2017,83.9,Akwa-Ibom,Oron,NA
Measles 1 Dose Coverage (Annualized),2017,55.4,Akwa-Ibom,Oruk Anam,NA
Measles 1 Dose Coverage (Annualized),2017,40.1,Akwa-Ibom,Udung Uko,NA
Measles 1 Dose Coverage (Annualized),2017,58.6,Akwa-Ibom,Ukanafun,NA
Measles 1 Dose Coverage (Annualized),2017,86.3,Akwa-Ibom,Uruan,NA
Measles 1 Dose Coverage (Annualized),2017,100,Akwa-Ibom,Urue-Offong/Oruko,NA
Measles 1 Dose Coverage (Annualized),2017,59.8,Akwa-Ibom,Uyo,NA
Measles 1 Dose Coverage (Annualized),2017,87.7,Anambra,Aguata,NA
Measles 1 Dose Coverage (Annualized),2017,128.5,Anambra,Anambra East,NA
Measles 1 Dose Coverage (Annualized),2017,90.8,Anambra,Anambra West,NA
